total_pop,pop_white_non_hisp,pop_black,pop_asian,pop_hispanic,median_hh_income,pop_poverty,pop_poverty_total,labor_force,unemployed,median_gross_rent,housing_units_total,housing_units_vacant,median_year_built,avg_household_size,lor_total,lor_2019_or_later,lor_2015_2018,lor_2010_2014,lor_2000_2009,lor_1990_1999,lor_1989_or_earlier,lang_total,lang_english_only,lang_spanish,lang_french,lang_chinese,lang_vietnamese,lang_tagalog,lang_korean,renter_households_total,burden_30_35,burden_35_40,burden_40_50,burden_50_plus,nativity_total,pop_foreign_born,citizenship_total,pop_naturalized,pop_noncitizen,hh_lang_total,hh_limited_eng_spanish,hh_limited_eng_indoeuropean,hh_limited_eng_apilang,hh_limited_eng_other,pub_assist_total,pub_assist_or_snap,renter_hh_total,renter_hh_no_vehicle,GEO_ID,state,county,tract,inc_dist_total,inc_under_10k,inc_10_15k,inc_15_20k,inc_20_25k,inc_25_30k,inc_30_35k,id,pct_white,pct_black,pct_asian,pct_hispanic,unemployment,poverty_rate,vacancy_rate,occupancy_rate,rent_burden,pct_lor_2019_or_later,pct_lor_2015_2018,pct_lor_2010_2014,pct_lor_2000_2009,pct_lor_1990_1999,pct_lor_1989_or_earlier,pct_lang_english_only,pct_lang_spanish,pct_lang_french,pct_lang_chinese,pct_lang_vietnamese,pct_lang_tagalog,pct_lang_korean,pct_foreign_born,pct_naturalized,pct_noncitizen,pct_limited_eng_spanish,pct_limited_eng_indoeuropean,pct_limited_eng_apilang,pct_limited_eng_other,pct_limited_eng_any,pct_pub_assist_or_snap,pct_renter_no_vehicle,pct_under_35k
5537.0,2325.0,906.0,1005.0,658.0,93121.0,599.0,5521.0,3871.0,303.0,1990.0,2706.0,57.0,1951.0,2.05,5423.0,3915.0,340.0,1598.0,1312.0,451.0,205.0,,,,,,,,,2091.0,110.0,31.0,382.0,364.0,5537.0,1317.0,5537.0,523.0,794.0,2649.0,90.0,0.0,43.0,22.0,2649.0,344.0,2091.0,410.0,1400000US06001401100,06,001,401100,2649.0,155.0,72.0,49.0,80.0,50.0,57.0,401100,42.0,16.4,18.2,11.9,7.8,10.8,2.1,97.9,42.4,72.2,6.3,29.5,24.2,8.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,9.4,14.3,3.4,0.0,1.6,0.8,5.9,13.0,19.6,17.5
2994.0,1718.0,239.0,441.0,387.0,115045.0,269.0,2987.0,2145.0,75.0,2695.0,1481.0,52.0,1944.0,2.09,2987.0,1543.0,231.0,484.0,629.0,94.0,17.0,,,,,,,,,870.0,23.0,61.0,94.0,210.0,2994.0,447.0,2994.0,272.0,175.0,1429.0,0.0,0.0,17.0,0.0,1429.0,51.0,870.0,163.0,1400000US06001401200,06,001,401200,1429.0,43.0,22.0,47.0,0.0,0.0,113.0,401200,57.4,8.0,14.7,12.9,3.5,9.0,3.5,96.5,44.6,51.7,7.7,16.2,21.1,3.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,9.1,5.8,0.0,0.0,1.2,0.0,1.2,3.6,18.7,15.7
4608.0,1657.0,1325.0,827.0,393.0,104226.0,524.0,4293.0,3229.0,124.0,2028.0,2564.0,163.0,1978.0,1.69,4053.0,3253.0,574.0,1201.0,1196.0,165.0,96.0,,,,,,,,,2086.0,243.0,147.0,117.0,357.0,4608.0,1126.0,4608.0,507.0,619.0,2401.0,10.0,18.0,142.0,49.0,2401.0,334.0,2086.0,741.0,1400000US06001401300,06,001,401300,2401.0,102.0,115.0,27.0,57.0,69.0,79.0,401300,36.0,28.8,17.9,8.5,3.8,12.2,6.4,93.6,41.4,80.3,14.2,29.6,29.5,4.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,11.0,13.4,0.4,0.7,5.9,2.0,9.1,13.9,35.5,18.7
5392.0,1380.0,1716.0,731.0,1175.0,95011.0,1628.0,5380.0,3610.0,375.0,2141.0,1950.0,209.0,1938.0,2.9,5057.0,3856.0,238.0,1502.0,1522.0,578.0,0.0,,,,,,,,,1338.0,51.0,143.0,89.0,332.0,5392.0,910.0,5392.0,482.0,428.0,1741.0,69.0,0.0,51.0,0.0,1741.0,385.0,1338.0,233.0,1400000US06001401400,06,001,401400,1741.0,130.0,95.0,44.0,59.0,10.0,74.0,401400,25.6,31.8,13.6,21.8,10.4,30.3,10.7,89.3,46.0,76.3,4.7,29.7,30.1,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,8.9,7.9,4.0,0.0,2.9,0.0,6.9,22.1,17.4,23.7
3035.0,662.0,1666.0,88.0,467.0,75568.0,504.0,2932.0,1941.0,180.0,1388.0,1307.0,104.0,1938.0,2.52,3029.0,1695.0,96.0,358.0,705.0,503.0,23.0,,,,,,,,,767.0,46.0,41.0,72.0,221.0,3035.0,710.0,3035.0,260.0,450.0,1203.0,46.0,5.0,13.0,16.0,1203.0,296.0,767.0,303.0,1400000US06001401500,06,001,401500,1203.0,156.0,146.0,70.0,10.0,54.0,44.0,401500,21.8,54.9,2.9,15.4,9.3,17.2,8.0,92.0,49.5,56.0,3.2,11.8,23.3,16.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,8.6,14.8,3.8,0.4,1.1,1.3,6.7,24.6,39.5,39.9
2403.0,446.0,788.0,265.0,697.0,88304.0,390.0,2403.0,1527.0,139.0,1685.0,1010.0,101.0,1973.0,2.55,2321.0,1578.0,181.0,467.0,602.0,284.0,8.0,,,,,,,,,654.0,45.0,125.0,49.0,147.0,2403.0,720.0,2403.0,337.0,383.0,909.0,16.0,0.0,19.0,12.0,909.0,118.0,654.0,64.0,1400000US06001401600,06,001,401600,909.0,76.0,44.0,24.0,15.0,25.0,46.0,401600,18.6,32.8,11.0,29.0,9.1,16.2,10.0,90.0,56.0,68.0,7.8,20.1,25.9,12.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,14.0,15.9,1.8,0.0,2.1,1.3,5.2,13.0,9.8,25.3
3276.0,1487.0,452.0,551.0,549.0,145833.0,550.0,3265.0,2456.0,95.0,2745.0,1666.0,260.0,1982.0,2.24,3145.0,1876.0,117.0,565.0,1171.0,23.0,0.0,,,,,,,,,737.0,152.0,81.0,77.0,80.0,3276.0,490.0,3276.0,281.0,209.0,1406.0,17.0,11.0,0.0,0.0,1406.0,35.0,737.0,40.0,1400000US06001401700,06,001,401700,1406.0,22.0,18.0,0.0,20.0,0.0,0.0,401700,45.4,13.8,16.8,16.8,3.9,16.8,15.6,84.4,52.9,59.7,3.7,18.0,37.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.6,6.4,1.2,0.8,0.0,0.0,2.0,2.5,5.4,4.3
1709.0,417.0,649.0,78.0,454.0,72401.0,261.0,1709.0,1032.0,20.0,1666.0,821.0,128.0,1938.0,2.46,1706.0,1139.0,32.0,285.0,633.0,161.0,24.0,,,,,,,,,482.0,37.0,30.0,40.0,141.0,1709.0,227.0,1709.0,62.0,165.0,693.0,15.0,0.0,11.0,0.0,693.0,150.0,482.0,158.0,1400000US06001401800,06,001,401800,693.0,46.0,46.0,23.0,0.0,20.0,20.0,401800,24.4,38.0,4.6,26.6,1.9,15.3,15.6,84.4,51.5,66.8,1.9,16.7,37.1,9.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,3.6,9.7,2.2,0.0,1.6,0.0,3.8,21.6,32.8,22.4
2337.0,747.0,647.0,295.0,537.0,96200.0,444.0,2313.0,1563.0,124.0,2672.0,1075.0,151.0,1947.0,2.53,2337.0,1583.0,87.0,530.0,653.0,158.0,4.0,,,,,,,,,565.0,108.0,30.0,42.0,76.0,2337.0,512.0,2337.0,218.0,294.0,924.0,25.0,9.0,41.0,0.0,924.0,241.0,565.0,110.0,1400000US06001402200,06,001,402200,924.0,28.0,71.0,18.0,27.0,22.0,35.0,402200,32.0,27.7,12.6,23.0,7.9,19.2,14.0,86.0,45.3,67.7,3.7,22.7,27.9,6.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,9.3,12.6,2.7,1.0,4.4,0.0,8.1,26.1,19.5,21.8
2623.0,349.0,1432.0,393.0,228.0,31279.0,519.0,2593.0,1308.0,139.0,1325.0,1293.0,51.0,1942.0,2.11,2616.0,1745.0,0.0,337.0,817.0,134.0,297.0,,,,,,,,,955.0,94.0,12.0,87.0,360.0,2623.0,491.0,2623.0,213.0,278.0,1242.0,35.0,0.0,119.0,50.0,1242.0,345.0,955.0,474.0,1400000US06001402400,06,001,402400,1242.0,143.0,103.0,175.0,134.0,22.0,100.0,402400,13.3,54.6,15.0,8.7,10.6,20.0,3.9,96.1,57.9,66.7,0.0,12.9,31.2,5.1,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,8.1,10.6,2.8,0.0,9.6,4.0,16.4,27.8,49.6,54.5
