City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,Median Rent,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,state,county,Tract_ID,Burdened_Households,Rent Burden
Oakland,401500,NW,401500,Census Tract 4015; Alameda County; California,2827.0,596.0,1473.0,127.0,510.0,1409.0,65.0,47.0,82.0,192.0,838.0,06,001,401500,386.0,46.1
Oakland,401600,NW,401600,Census Tract 4016; Alameda County; California,2617.0,552.0,894.0,248.0,767.0,2195.0,44.0,80.0,62.0,101.0,667.0,06,001,401600,287.0,43.0
Oakland,401700,NW,401700,Census Tract 4017; Alameda County; California,3519.0,1390.0,507.0,705.0,739.0,2835.0,190.0,67.0,39.0,167.0,862.0,06,001,401700,463.0,53.7
Oakland,401800,NW,401800,Census Tract 4018; Alameda County; California,1816.0,482.0,563.0,83.0,576.0,1648.0,73.0,46.0,34.0,192.0,525.0,06,001,401800,345.0,65.7
Oakland,402200,NW,402200,Census Tract 4022; Alameda County; California,2385.0,817.0,786.0,185.0,493.0,2574.0,111.0,13.0,42.0,57.0,578.0,06,001,402200,223.0,38.6
Oakland,402400,NW,402400,Census Tract 4024; Alameda County; California,2727.0,424.0,1506.0,297.0,297.0,1252.0,103.0,50.0,120.0,315.0,983.0,06,001,402400,588.0,59.8
Oakland,402500,NW,402500,Census Tract 4025; Alameda County; California,1877.0,442.0,763.0,304.0,192.0,1033.0,109.0,35.0,53.0,119.0,608.0,06,001,402500,316.0,52.0
Oakland,402600,NW,402600,Census Tract 4026; Alameda County; California,1255.0,141.0,538.0,418.0,44.0,1196.0,31.0,46.0,19.0,97.0,503.0,06,001,402600,193.0,38.4
Oakland,402700,NW,402700,Census Tract 4027; Alameda County; California,2056.0,494.0,732.0,333.0,395.0,2188.0,41.0,16.0,27.0,124.0,561.0,06,001,402700,208.0,37.1
Oakland,402801,NW,402801,Census Tract 4028.01; Alameda County; California,2911.0,764.0,1191.0,611.0,183.0,1752.0,189.0,116.0,64.0,422.0,1463.0,06,001,402801,791.0,54.1
Oakland,404000,NW,404000,Census Tract 4040; Alameda County; California,2984.0,1558.0,367.0,235.0,541.0,2145.0,113.0,99.0,161.0,214.0,1286.0,06,001,404000,587.0,45.6
Oakland,404101,NW,404101,Census Tract 4041.01; Alameda County; California,3155.0,2150.0,250.0,296.0,269.0,2343.0,119.0,44.0,127.0,232.0,1137.0,06,001,404101,522.0,45.9
Oakland,404102,NW,404102,Census Tract 4041.02; Alameda County; California,2623.0,1468.0,91.0,355.0,411.0,2130.0,211.0,76.0,101.0,187.0,1305.0,06,001,404102,575.0,44.1
Oakland,400100,NW (Hills),400100,Census Tract 4001; Alameda County; California,3094.0,2107.0,137.0,462.0,200.0,3501.0,0.0,0.0,8.0,0.0,109.0,06,001,400100,8.0,7.3
Oakland,404200,NW (Hills),404200,Census Tract 4042; Alameda County; California,3584.0,2467.0,176.0,331.0,298.0,2918.0,8.0,13.0,23.0,28.0,223.0,06,001,404200,72.0,32.3
Oakland,404300,NW (Hills),404300,Census Tract 4043; Alameda County; California,3510.0,2617.0,90.0,459.0,178.0,3501.0,26.0,0.0,15.0,15.0,127.0,06,001,404300,56.0,44.1
Oakland,404400,NW (Hills),404400,Census Tract 4044; Alameda County; California,5657.0,3042.0,106.0,1174.0,192.0,3501.0,13.0,0.0,0.0,45.0,310.0,06,001,404400,58.0,18.7
Oakland,404501,NW (Hills),404501,Census Tract 4045.01; Alameda County; California,1830.0,1124.0,110.0,180.0,153.0,3501.0,0.0,12.0,0.0,48.0,110.0,06,001,404501,60.0,54.5
Oakland,404502,NW (Hills),404502,Census Tract 4045.02; Alameda County; California,6038.0,3883.0,284.0,1037.0,425.0,3501.0,62.0,0.0,20.0,16.0,173.0,06,001,404502,98.0,56.6
Oakland,404600,NW (Hills),404600,Census Tract 4046; Alameda County; California,4767.0,2851.0,333.0,584.0,267.0,2935.0,20.0,0.0,12.0,44.0,299.0,06,001,404600,76.0,25.4
Oakland,981900,NW (Port),981900,Census Tract 9819; Alameda County; California,9.0,5.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,0.0,5.0,06,001,981900,0.0,0.0
Oakland,982000,NW (Port),982000,Census Tract 9820; Alameda County; California,69.0,36.0,7.0,22.0,0.0,-666666666.0,0.0,6.0,0.0,0.0,6.0,06,001,982000,6.0,100.0
