City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,Median Rent,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,state,county,Tract_ID,Burdened_Households,Rent Burden
Berkeley,423400,Berkeley,423400,Census Tract 4234; Alameda County; California,5581.0,2568.0,943.0,770.0,918.0,2324.0,166.0,129.0,16.0,254.0,1267.0,06,001,423400,565.0,44.6
Berkeley,423500,Berkeley,423500,Census Tract 4235; Alameda County; California,3537.0,1989.0,366.0,429.0,493.0,1947.0,186.0,50.0,137.0,210.0,1104.0,06,001,423500,583.0,52.8
Berkeley,423601,Berkeley,423601,Census Tract 4236.01; Alameda County; California,2717.0,1656.0,106.0,350.0,373.0,2211.0,57.0,0.0,63.0,151.0,610.0,06,001,423601,271.0,44.4
Berkeley,423602,Berkeley,423602,Census Tract 4236.02; Alameda County; California,6739.0,3409.0,145.0,2056.0,659.0,2183.0,83.0,44.0,147.0,830.0,1634.0,06,001,423602,1104.0,67.6
Berkeley,423700,Berkeley,423700,Census Tract 4237; Alameda County; California,3537.0,1982.0,109.0,733.0,488.0,2049.0,22.0,68.0,69.0,203.0,639.0,06,001,423700,362.0,56.7
Berkeley,423800,Berkeley,423800,Census Tract 4238; Alameda County; California,3460.0,2549.0,43.0,338.0,173.0,2628.0,11.0,0.0,17.0,40.0,423.0,06,001,423800,68.0,16.1
Berkeley,423901,Berkeley,423901,Census Tract 4239.01; Alameda County; California,2205.0,1055.0,226.0,205.0,473.0,2210.0,33.0,23.0,34.0,96.0,565.0,06,001,423901,186.0,32.9
Berkeley,423902,Berkeley,423902,Census Tract 4239.02; Alameda County; California,1541.0,1013.0,85.0,184.0,184.0,2506.0,43.0,15.0,23.0,130.0,500.0,06,001,423902,211.0,42.2
Berkeley,424001,Berkeley,424001,Census Tract 4240.01; Alameda County; California,3716.0,1648.0,703.0,502.0,656.0,2050.0,71.0,118.0,49.0,357.0,981.0,06,001,424001,595.0,60.7
Berkeley,424002,Berkeley,424002,Census Tract 4240.02; Alameda County; California,2591.0,1053.0,636.0,273.0,464.0,1396.0,68.0,56.0,26.0,65.0,510.0,06,001,424002,215.0,42.2
Berkeley,982100,Berkeley (UCB),982100,Census Tract 9821; Alameda County; California,1099.0,362.0,89.0,434.0,188.0,3200.0,0.0,0.0,4.0,10.0,24.0,06,001,982100,14.0,58.3
Oakland,402802,Central,402802,Census Tract 4028.02; Alameda County; California,1527.0,378.0,638.0,288.0,33.0,757.0,48.0,10.0,79.0,262.0,739.0,06,001,402802,399.0,54.0
Oakland,402900,Central,402900,Census Tract 4029; Alameda County; California,2111.0,467.0,417.0,915.0,246.0,1907.0,119.0,29.0,84.0,480.0,1402.0,06,001,402900,712.0,50.8
Oakland,403000,Central,403000,Census Tract 4030; Alameda County; California,3125.0,401.0,200.0,2229.0,66.0,1603.0,62.0,25.0,88.0,364.0,1392.0,06,001,403000,539.0,38.7
Oakland,403100,Central,403100,Census Tract 4031; Alameda County; California,2174.0,720.0,560.0,632.0,209.0,3139.0,42.0,56.0,34.0,108.0,762.0,06,001,403100,240.0,31.5
Oakland,403301,Central,403301,Census Tract 4033.01; Alameda County; California,1807.0,97.0,61.0,1415.0,35.0,1793.0,54.0,13.0,32.0,346.0,724.0,06,001,403301,445.0,61.5
Oakland,403302,Central,403302,Census Tract 4033.02; Alameda County; California,2687.0,1198.0,120.0,698.0,279.0,3043.0,75.0,51.0,54.0,91.0,1107.0,06,001,403302,271.0,24.5
Oakland,403401,Central,403401,Census Tract 4034.01; Alameda County; California,2641.0,1132.0,347.0,626.0,319.0,1745.0,251.0,93.0,127.0,403.0,1591.0,06,001,403401,874.0,54.9
Oakland,403402,Central,403402,Census Tract 4034.02; Alameda County; California,955.0,416.0,179.0,120.0,161.0,1614.0,86.0,25.0,61.0,134.0,712.0,06,001,403402,306.0,43.0
Oakland,403501,Central,403501,Census Tract 4035.01; Alameda County; California,5421.0,1893.0,943.0,1715.0,497.0,2059.0,96.0,92.0,241.0,553.0,2474.0,06,001,403501,982.0,39.7
Oakland,403502,Central,403502,Census Tract 4035.02; Alameda County; California,1885.0,867.0,372.0,142.0,233.0,2003.0,81.0,32.0,64.0,210.0,958.0,06,001,403502,387.0,40.4
Oakland,403600,Central,403600,Census Tract 4036; Alameda County; California,4902.0,1717.0,1014.0,503.0,931.0,2053.0,183.0,123.0,101.0,319.0,2385.0,06,001,403600,726.0,30.4
Oakland,403701,Central,403701,Census Tract 4037.01; Alameda County; California,2875.0,1190.0,709.0,544.0,260.0,2569.0,128.0,74.0,52.0,473.0,1471.0,06,001,403701,727.0,49.4
Oakland,403702,Central,403702,Census Tract 4037.02; Alameda County; California,2264.0,1235.0,322.0,236.0,248.0,2301.0,87.0,41.0,51.0,150.0,1040.0,06,001,403702,329.0,31.6
Oakland,403800,Central,403800,Census Tract 4038; Alameda County; California,3996.0,2450.0,541.0,455.0,262.0,2338.0,25.0,126.0,32.0,208.0,1262.0,06,001,403800,391.0,31.0
Oakland,403900,Central,403900,Census Tract 4039; Alameda County; California,3864.0,2526.0,346.0,449.0,448.0,2257.0,76.0,100.0,41.0,260.0,1387.0,06,001,403900,477.0,34.4
Oakland,405200,Central,405200,Census Tract 4052; Alameda County; California,4916.0,1350.0,580.0,1771.0,725.0,1847.0,97.0,70.0,11.0,355.0,1842.0,06,001,405200,533.0,28.9
Oakland,405301,Central,405301,Census Tract 4053.01; Alameda County; California,2934.0,1435.0,530.0,352.0,375.0,2030.0,103.0,44.0,118.0,265.0,1361.0,06,001,405301,530.0,38.9
Oakland,405302,Central,405302,Census Tract 4053.02; Alameda County; California,2560.0,849.0,521.0,793.0,259.0,1833.0,186.0,95.0,65.0,374.0,1524.0,06,001,405302,720.0,47.2
Oakland,983200,Central,983200,Census Tract 9832; Alameda County; California,1038.0,496.0,170.0,212.0,60.0,3324.0,0.0,31.0,13.0,44.0,191.0,06,001,983200,88.0,46.1
Oakland,404700,EOL,404700,Census Tract 4047; Alameda County; California,2223.0,1471.0,99.0,262.0,208.0,3175.0,0.0,0.0,20.0,0.0,63.0,06,001,404700,20.0,31.7
Oakland,404800,EOL,404800,Census Tract 4048; Alameda County; California,2622.0,1372.0,338.0,382.0,270.0,1661.0,32.0,11.0,6.0,158.0,537.0,06,001,404800,207.0,38.5
Oakland,404900,EOL,404900,Census Tract 4049; Alameda County; California,4798.0,2667.0,239.0,682.0,704.0,2221.0,100.0,92.0,77.0,151.0,831.0,06,001,404900,420.0,50.5
Oakland,405000,EOL,405000,Census Tract 4050; Alameda County; California,3670.0,2087.0,429.0,443.0,390.0,2046.0,71.0,42.0,43.0,67.0,512.0,06,001,405000,223.0,43.6
Oakland,405100,EOL,405100,Census Tract 4051; Alameda County; California,4451.0,2831.0,190.0,608.0,362.0,-666666666.0,0.0,0.0,0.0,9.0,92.0,06,001,405100,9.0,9.8
Oakland,405401,EOL,405401,Census Tract 4054.01; Alameda County; California,3733.0,796.0,573.0,1175.0,908.0,1829.0,91.0,26.0,131.0,442.0,1451.0,06,001,405401,690.0,47.6
Oakland,405402,EOL,405402,Census Tract 4054.02; Alameda County; California,3325.0,631.0,433.0,1204.0,915.0,1268.0,91.0,137.0,47.0,305.0,1074.0,06,001,405402,580.0,54.0
Oakland,405500,EOL,405500,Census Tract 4055; Alameda County; California,3574.0,696.0,501.0,1331.0,777.0,1734.0,91.0,41.0,84.0,270.0,1155.0,06,001,405500,486.0,42.1
Oakland,405600,EOL,405600,Census Tract 4056; Alameda County; California,3153.0,755.0,472.0,1048.0,680.0,1898.0,128.0,156.0,87.0,277.0,994.0,06,001,405600,648.0,65.2
Oakland,405700,EOL,405700,Census Tract 4057; Alameda County; California,3553.0,537.0,890.0,875.0,1087.0,1844.0,40.0,53.0,0.0,272.0,961.0,06,001,405700,365.0,38.0
Oakland,405800,EOL,405800,Census Tract 4058; Alameda County; California,4329.0,493.0,870.0,1880.0,772.0,1876.0,62.0,100.0,110.0,155.0,772.0,06,001,405800,427.0,55.3
Oakland,405901,EOL,405901,Census Tract 4059.01; Alameda County; California,4206.0,154.0,749.0,1272.0,1648.0,1630.0,30.0,57.0,63.0,295.0,858.0,06,001,405901,445.0,51.9
Oakland,405902,EOL,405902,Census Tract 4059.02; Alameda County; California,2994.0,377.0,156.0,1214.0,912.0,1840.0,38.0,22.0,50.0,240.0,568.0,06,001,405902,350.0,61.6
Oakland,406000,EOL,406000,Census Tract 4060; Alameda County; California,4638.0,820.0,902.0,1915.0,844.0,1406.0,151.0,16.0,90.0,519.0,1694.0,06,001,406000,776.0,45.8
Oakland,406100,EOL,406100,Census Tract 4061; Alameda County; California,5379.0,650.0,403.0,1180.0,2910.0,1830.0,254.0,30.0,76.0,516.0,1391.0,06,001,406100,876.0,63.0
Oakland,406201,EOL,406201,Census Tract 4062.01; Alameda County; California,5191.0,293.0,686.0,1104.0,2873.0,1531.0,58.0,158.0,147.0,356.0,1264.0,06,001,406201,719.0,56.9
Oakland,406202,EOL,406202,Census Tract 4062.02; Alameda County; California,4958.0,223.0,296.0,917.0,3451.0,1450.0,183.0,72.0,121.0,283.0,1215.0,06,001,406202,659.0,54.2
Oakland,406300,EOL,406300,Census Tract 4063; Alameda County; California,4529.0,303.0,777.0,1000.0,1887.0,1754.0,124.0,0.0,164.0,380.0,848.0,06,001,406300,668.0,78.8
Oakland,406400,EOL,406400,Census Tract 4064; Alameda County; California,2456.0,677.0,410.0,299.0,867.0,1834.0,46.0,18.0,11.0,200.0,445.0,06,001,406400,275.0,61.8
Oakland,406500,EOL,406500,Census Tract 4065; Alameda County; California,6405.0,830.0,790.0,1448.0,3207.0,1786.0,96.0,63.0,76.0,369.0,1212.0,06,001,406500,604.0,49.8
Oakland,406601,EOL,406601,Census Tract 4066.01; Alameda County; California,4476.0,943.0,1363.0,661.0,1240.0,1902.0,136.0,59.0,105.0,383.0,971.0,06,001,406601,683.0,70.3
Oakland,406602,EOL,406602,Census Tract 4066.02; Alameda County; California,2638.0,348.0,657.0,501.0,940.0,1665.0,48.0,31.0,136.0,139.0,677.0,06,001,406602,354.0,52.3
Oakland,406700,EOL,406700,Census Tract 4067; Alameda County; California,5718.0,2486.0,445.0,1015.0,1223.0,1898.0,62.0,47.0,112.0,221.0,785.0,06,001,406700,442.0,56.3
Oakland,406900,EOL,406900,Census Tract 4069; Alameda County; California,4535.0,1575.0,930.0,804.0,633.0,2284.0,51.0,50.0,33.0,153.0,683.0,06,001,406900,287.0,42.0
Oakland,407000,EOL,407000,Census Tract 4070; Alameda County; California,6315.0,1105.0,1305.0,1215.0,2279.0,1946.0,23.0,127.0,14.0,455.0,1079.0,06,001,407000,619.0,57.4
Oakland,407101,EOL,407101,Census Tract 4071.01; Alameda County; California,3547.0,292.0,400.0,815.0,1836.0,1690.0,33.0,24.0,96.0,278.0,686.0,06,001,407101,431.0,62.8
Oakland,407102,EOL,407102,Census Tract 4071.02; Alameda County; California,4464.0,324.0,1033.0,1215.0,1579.0,1626.0,35.0,51.0,52.0,93.0,597.0,06,001,407102,231.0,38.7
Oakland,407200,EOL,407200,Census Tract 4072; Alameda County; California,6483.0,727.0,178.0,513.0,4878.0,1489.0,237.0,22.0,72.0,473.0,1361.0,06,001,407200,804.0,59.1
Oakland,407300,EOL,407300,Census Tract 4073; Alameda County; California,2401.0,295.0,259.0,287.0,1482.0,2237.0,39.0,7.0,42.0,148.0,407.0,06,001,407300,236.0,58.0
Oakland,407400,EOL,407400,Census Tract 4074; Alameda County; California,4268.0,259.0,1485.0,405.0,2030.0,1402.0,128.0,73.0,130.0,343.0,980.0,06,001,407400,674.0,68.8
Oakland,407500,EOL,407500,Census Tract 4075; Alameda County; California,3687.0,292.0,469.0,487.0,2335.0,1215.0,116.0,0.0,145.0,214.0,816.0,06,001,407500,475.0,58.2
Oakland,407600,EOL,407600,Census Tract 4076; Alameda County; California,6793.0,1605.0,1268.0,877.0,2684.0,1979.0,59.0,64.0,237.0,317.0,1073.0,06,001,407600,677.0,63.1
