City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B23025_005E,B23025_002E,C16002_004E,C16002_007E,C16002_001E,state,county,Tract_ID,Rent Burden,Unemployment Rate,% Spanish LE,% Asian LE
Oakland,409400,EOL,409400,Census Tract 4094; Alameda County; California,5032.0,157.0,847.0,274.0,3682.0,81.0,42.0,92.0,195.0,675.0,97.0,2458.0,177.0,0.0,1366.0,06,001,409400,60.7,3.9,13.0,0.0
Oakland,409500,EOL,409500,Census Tract 4095; Alameda County; California,4502.0,456.0,677.0,125.0,3111.0,86.0,69.0,112.0,315.0,786.0,171.0,1819.0,13.0,0.0,1117.0,06,001,409500,74.0,9.4,1.2,0.0
Oakland,409600,EOL,409600,Census Tract 4096; Alameda County; California,5313.0,65.0,1584.0,4.0,3569.0,95.0,67.0,48.0,392.0,1039.0,232.0,2383.0,90.0,0.0,1727.0,06,001,409600,57.9,9.7,5.2,0.0
Oakland,409700,EOL,409700,Census Tract 4097; Alameda County; California,5061.0,306.0,1933.0,20.0,2190.0,68.0,194.0,175.0,612.0,1300.0,115.0,1885.0,90.0,0.0,1693.0,06,001,409700,80.7,6.1,5.3,0.0
Oakland,409800,EOL,409800,Census Tract 4098; Alameda County; California,3405.0,449.0,1652.0,243.0,666.0,64.0,62.0,0.0,173.0,453.0,161.0,1807.0,0.0,0.0,1226.0,06,001,409800,66.0,8.9,0.0,0.0
Oakland,410100,EOL,410100,Census Tract 4101; Alameda County; California,2893.0,320.0,1548.0,291.0,519.0,0.0,50.0,53.0,172.0,420.0,114.0,1428.0,43.0,0.0,1095.0,06,001,410100,65.5,8.0,3.9,0.0
Oakland,410200,EOL,410200,Census Tract 4102; Alameda County; California,3545.0,266.0,1205.0,87.0,1555.0,77.0,76.0,33.0,159.0,545.0,119.0,1844.0,36.0,0.0,1107.0,06,001,410200,63.3,6.5,3.3,0.0
Oakland,410300,EOL,410300,Census Tract 4103; Alameda County; California,3967.0,39.0,535.0,71.0,3288.0,14.0,15.0,22.0,392.0,647.0,148.0,1974.0,175.0,0.0,1080.0,06,001,410300,68.5,7.5,16.2,0.0
Oakland,410400,EOL,410400,Census Tract 4104; Alameda County; California,4633.0,303.0,1490.0,272.0,2403.0,114.0,0.0,6.0,157.0,710.0,72.0,2520.0,99.0,16.0,1461.0,06,001,410400,39.0,2.9,6.8,1.1
Oakland,406800,EOL (Hills),406800,Census Tract 4068; Alameda County; California,3905.0,1072.0,820.0,707.0,948.0,55.0,0.0,49.0,105.0,459.0,268.0,2106.0,11.0,6.0,1429.0,06,001,406800,45.5,12.7,0.8,0.4
Oakland,408000,EOL (Hills),408000,Census Tract 4080; Alameda County; California,2767.0,1625.0,264.0,492.0,300.0,12.0,5.0,0.0,61.0,142.0,120.0,1549.0,0.0,0.0,1019.0,06,001,408000,54.9,7.7,0.0,0.0
Oakland,408100,EOL (Hills),408100,Census Tract 4081; Alameda County; California,7552.0,2214.0,2239.0,1841.0,876.0,24.0,17.0,16.0,86.0,314.0,184.0,4263.0,0.0,0.0,2965.0,06,001,408100,45.5,4.3,0.0,0.0
Oakland,409900,EOL (Hills),409900,Census Tract 4099; Alameda County; California,3904.0,995.0,1719.0,206.0,479.0,22.0,0.0,0.0,30.0,151.0,62.0,2153.0,0.0,0.0,1434.0,06,001,409900,34.4,2.9,0.0,0.0
Oakland,410000,EOL (Hills),410000,Census Tract 4100; Alameda County; California,3053.0,985.0,1323.0,393.0,152.0,0.0,0.0,0.0,62.0,125.0,101.0,1623.0,0.0,0.0,1220.0,06,001,410000,49.6,6.2,0.0,0.0
Piedmont,426100,NW,426100,Census Tract 4261; Alameda County; California,6160.0,4152.0,1.0,1571.0,118.0,0.0,0.0,0.0,0.0,116.0,89.0,2908.0,0.0,0.0,2093.0,06,001,426100,0.0,3.1,0.0,0.0
Piedmont,426200,NW,426200,Census Tract 4262; Alameda County; California,4852.0,3090.0,79.0,913.0,338.0,7.0,4.0,0.0,23.0,256.0,120.0,2364.0,0.0,0.0,1644.0,06,001,426200,13.3,5.1,0.0,0.0
Emeryville,425101,NW,425101,Census Tract 4251.01; Alameda County; California,1677.0,818.0,39.0,427.0,187.0,72.0,75.0,68.0,222.0,729.0,69.0,1086.0,8.0,53.0,1292.0,06,001,425101,59.9,6.4,0.6,4.1
Emeryville,425102,NW,425102,Census Tract 4251.02; Alameda County; California,3901.0,1000.0,579.0,1653.0,316.0,164.0,156.0,317.0,236.0,1722.0,48.0,3002.0,0.0,27.0,2413.0,06,001,425102,50.7,1.6,0.0,1.1
Emeryville,425103,NW,425103,Census Tract 4251.03; Alameda County; California,3108.0,861.0,901.0,955.0,246.0,75.0,119.0,51.0,324.0,1336.0,260.0,2378.0,0.0,0.0,1789.0,06,001,425103,42.6,10.9,0.0,0.0
Emeryville,425104,NW,425104,Census Tract 4251.04; Alameda County; California,4070.0,1833.0,683.0,737.0,545.0,90.0,74.0,90.0,306.0,1533.0,100.0,2867.0,53.0,35.0,2153.0,06,001,425104,36.5,3.5,2.5,1.6
Oakland,400200,NW,400200,Census Tract 4002; Alameda County; California,2093.0,1408.0,43.0,256.0,196.0,9.0,0.0,4.0,29.0,355.0,59.0,1124.0,0.0,7.0,861.0,06,001,400200,11.8,5.2,0.0,0.8
Oakland,400300,NW,400300,Census Tract 4003; Alameda County; California,5727.0,3365.0,524.0,609.0,497.0,162.0,172.0,137.0,258.0,1632.0,261.0,3662.0,0.0,0.0,2713.0,06,001,400300,44.7,7.1,0.0,0.0
Oakland,400400,NW,400400,Census Tract 4004; Alameda County; California,4395.0,2645.0,433.0,422.0,604.0,10.0,9.0,105.0,119.0,827.0,5.0,2483.0,8.0,0.0,1803.0,06,001,400400,29.4,0.2,0.4,0.0
Oakland,400500,NW,400500,Census Tract 4005; Alameda County; California,3822.0,1696.0,911.0,306.0,557.0,116.0,15.0,78.0,186.0,871.0,190.0,2327.0,0.0,17.0,1655.0,06,001,400500,45.4,8.2,0.0,1.0
Oakland,400600,NW,400600,Census Tract 4006; Alameda County; California,1957.0,801.0,544.0,101.0,198.0,46.0,0.0,0.0,120.0,438.0,20.0,1256.0,0.0,0.0,795.0,06,001,400600,37.9,1.6,0.0,0.0
Oakland,400700,NW,400700,Census Tract 4007; Alameda County; California,4404.0,2230.0,1054.0,278.0,453.0,115.0,0.0,100.0,301.0,1250.0,151.0,2936.0,0.0,12.0,1899.0,06,001,400700,41.3,5.1,0.0,0.6
Oakland,400800,NW,400800,Census Tract 4008; Alameda County; California,4583.0,2441.0,371.0,690.0,596.0,86.0,62.0,150.0,164.0,1182.0,15.0,2934.0,59.0,0.0,1915.0,06,001,400800,39.1,0.5,3.1,0.0
Oakland,400900,NW,400900,Census Tract 4009; Alameda County; California,2752.0,959.0,759.0,211.0,509.0,48.0,0.0,30.0,113.0,738.0,116.0,1982.0,0.0,0.0,1127.0,06,001,400900,25.9,5.9,0.0,0.0
Oakland,401000,NW,401000,Census Tract 4010; Alameda County; California,6529.0,1985.0,2448.0,398.0,896.0,175.0,90.0,161.0,233.0,1576.0,308.0,4397.0,19.0,0.0,2522.0,06,001,401000,41.8,7.0,0.8,0.0
Oakland,401100,NW,401100,Census Tract 4011; Alameda County; California,5627.0,2390.0,1003.0,825.0,774.0,167.0,64.0,411.0,356.0,2250.0,264.0,4064.0,107.0,0.0,2739.0,06,001,401100,44.4,6.5,3.9,0.0
Oakland,401200,NW,401200,Census Tract 4012; Alameda County; California,3068.0,1764.0,207.0,473.0,355.0,24.0,90.0,100.0,166.0,884.0,53.0,2207.0,0.0,0.0,1496.0,06,001,401200,43.0,2.4,0.0,0.0
Oakland,401300,NW,401300,Census Tract 4013; Alameda County; California,4368.0,1459.0,1247.0,735.0,350.0,286.0,174.0,92.0,383.0,2119.0,116.0,2939.0,0.0,15.0,2396.0,06,001,401300,44.1,3.9,0.0,0.6
Oakland,401400,NW,401400,Census Tract 4014; Alameda County; California,4876.0,1278.0,1747.0,505.0,1090.0,68.0,99.0,135.0,422.0,1320.0,274.0,3116.0,79.0,0.0,1709.0,06,001,401400,54.8,8.8,4.6,0.0
Oakland,401500,NW,401500,Census Tract 4015; Alameda County; California,2827.0,596.0,1473.0,127.0,510.0,65.0,47.0,82.0,192.0,838.0,194.0,1647.0,51.0,0.0,1254.0,06,001,401500,46.1,11.8,4.1,0.0
Oakland,401600,NW,401600,Census Tract 4016; Alameda County; California,2617.0,552.0,894.0,248.0,767.0,44.0,80.0,62.0,101.0,667.0,169.0,1689.0,45.0,0.0,969.0,06,001,401600,43.0,10.0,4.6,0.0
Oakland,401700,NW,401700,Census Tract 4017; Alameda County; California,3519.0,1390.0,507.0,705.0,739.0,190.0,67.0,39.0,167.0,862.0,103.0,2549.0,0.0,11.0,1515.0,06,001,401700,53.7,4.0,0.0,0.7
Oakland,401800,NW,401800,Census Tract 4018; Alameda County; California,1816.0,482.0,563.0,83.0,576.0,73.0,46.0,34.0,192.0,525.0,35.0,1001.0,19.0,0.0,710.0,06,001,401800,65.7,3.5,2.7,0.0
Oakland,402200,NW,402200,Census Tract 4022; Alameda County; California,2385.0,817.0,786.0,185.0,493.0,111.0,13.0,42.0,57.0,578.0,100.0,1726.0,20.0,7.0,952.0,06,001,402200,38.6,5.8,2.1,0.7
Oakland,402400,NW,402400,Census Tract 4024; Alameda County; California,2727.0,424.0,1506.0,297.0,297.0,103.0,50.0,120.0,315.0,983.0,163.0,1510.0,41.0,0.0,1282.0,06,001,402400,59.8,10.8,3.2,0.0
Oakland,402500,NW,402500,Census Tract 4025; Alameda County; California,1877.0,442.0,763.0,304.0,192.0,109.0,35.0,53.0,119.0,608.0,134.0,924.0,0.0,0.0,717.0,06,001,402500,52.0,14.5,0.0,0.0
Oakland,402600,NW,402600,Census Tract 4026; Alameda County; California,1255.0,141.0,538.0,418.0,44.0,31.0,46.0,19.0,97.0,503.0,57.0,674.0,0.0,0.0,614.0,06,001,402600,38.4,8.5,0.0,0.0
Oakland,402700,NW,402700,Census Tract 4027; Alameda County; California,2056.0,494.0,732.0,333.0,395.0,41.0,16.0,27.0,124.0,561.0,93.0,1199.0,19.0,0.0,777.0,06,001,402700,37.1,7.8,2.4,0.0
Oakland,402801,NW,402801,Census Tract 4028.01; Alameda County; California,2911.0,764.0,1191.0,611.0,183.0,189.0,116.0,64.0,422.0,1463.0,132.0,1698.0,8.0,18.0,1675.0,06,001,402801,54.1,7.8,0.5,1.1
Oakland,404000,NW,404000,Census Tract 4040; Alameda County; California,2984.0,1558.0,367.0,235.0,541.0,113.0,99.0,161.0,214.0,1286.0,141.0,2146.0,0.0,0.0,1756.0,06,001,404000,45.6,6.6,0.0,0.0
Oakland,404101,NW,404101,Census Tract 4041.01; Alameda County; California,3155.0,2150.0,250.0,296.0,269.0,119.0,44.0,127.0,232.0,1137.0,36.0,2089.0,0.0,0.0,1739.0,06,001,404101,45.9,1.7,0.0,0.0
Oakland,404102,NW,404102,Census Tract 4041.02; Alameda County; California,2623.0,1468.0,91.0,355.0,411.0,211.0,76.0,101.0,187.0,1305.0,54.0,1563.0,0.0,17.0,1581.0,06,001,404102,44.1,3.5,0.0,1.1
Oakland,400100,NW (Hills),400100,Census Tract 4001; Alameda County; California,3094.0,2107.0,137.0,462.0,200.0,0.0,0.0,8.0,0.0,109.0,90.0,1650.0,0.0,0.0,1316.0,06,001,400100,7.3,5.5,0.0,0.0
Oakland,404200,NW (Hills),404200,Census Tract 4042; Alameda County; California,3584.0,2467.0,176.0,331.0,298.0,8.0,13.0,23.0,28.0,223.0,108.0,1858.0,0.0,0.0,1401.0,06,001,404200,32.3,5.8,0.0,0.0
Oakland,404300,NW (Hills),404300,Census Tract 4043; Alameda County; California,3510.0,2617.0,90.0,459.0,178.0,26.0,0.0,15.0,15.0,127.0,76.0,1850.0,0.0,0.0,1427.0,06,001,404300,44.1,4.1,0.0,0.0
Oakland,404400,NW (Hills),404400,Census Tract 4044; Alameda County; California,5657.0,3042.0,106.0,1174.0,192.0,13.0,0.0,0.0,45.0,310.0,79.0,3233.0,0.0,37.0,2381.0,06,001,404400,18.7,2.4,0.0,1.6
Oakland,404501,NW (Hills),404501,Census Tract 4045.01; Alameda County; California,1830.0,1124.0,110.0,180.0,153.0,0.0,12.0,0.0,48.0,110.0,41.0,917.0,8.0,6.0,685.0,06,001,404501,54.5,4.5,1.2,0.9
Oakland,404502,NW (Hills),404502,Census Tract 4045.02; Alameda County; California,6038.0,3883.0,284.0,1037.0,425.0,62.0,0.0,20.0,16.0,173.0,151.0,3438.0,12.0,0.0,2573.0,06,001,404502,56.6,4.4,0.5,0.0
Oakland,404600,NW (Hills),404600,Census Tract 4046; Alameda County; California,4767.0,2851.0,333.0,584.0,267.0,20.0,0.0,12.0,44.0,299.0,144.0,2245.0,0.0,8.0,1869.0,06,001,404600,25.4,6.4,0.0,0.4
Oakland,981900,NW (Port),981900,Census Tract 9819; Alameda County; California,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,5.0,06,001,981900,0.0,0.0,0.0,0.0
Oakland,982000,NW (Port),982000,Census Tract 9820; Alameda County; California,69.0,36.0,7.0,22.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,47.0,0.0,0.0,45.0,06,001,982000,100.0,0.0,0.0,0.0
