City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B23025_005E,B23025_002E,C16002_004E,C16002_007E,C16002_001E,state,county,Tract_ID,Rent Burden,Unemployment Rate,% Spanish LE,% Asian LE
Berkeley,422901,Berkeley,422901,Census Tract 4229.01; Alameda County; California,1889.0,659.0,72.0,1022.0,63.0,0.0,56.0,44.0,267.0,857.0,121.0,1149.0,0.0,0.0,869.0,06,001,422901,42.8,10.5,0.0,0.0
Berkeley,422902,Berkeley,422902,Census Tract 4229.02; Alameda County; California,2370.0,738.0,92.0,889.0,227.0,129.0,6.0,26.0,489.0,1335.0,7.0,1261.0,0.0,0.0,1335.0,06,001,422902,48.7,0.6,0.0,0.0
Berkeley,423000,Berkeley,423000,Census Tract 4230; Alameda County; California,4526.0,2716.0,217.0,799.0,574.0,98.0,16.0,144.0,512.0,1225.0,141.0,2903.0,0.0,0.0,1994.0,06,001,423000,62.9,4.9,0.0,0.0
Berkeley,423100,Berkeley,423100,Census Tract 4231; Alameda County; California,4187.0,1638.0,828.0,719.0,539.0,118.0,69.0,96.0,600.0,1312.0,97.0,2067.0,7.0,27.0,2048.0,06,001,423100,67.3,4.7,0.3,1.3
Berkeley,423200,Berkeley,423200,Census Tract 4232; Alameda County; California,2874.0,1258.0,427.0,142.0,889.0,45.0,35.0,158.0,209.0,773.0,25.0,1426.0,0.0,0.0,1178.0,06,001,423200,57.8,1.8,0.0,0.0
Berkeley,423300,Berkeley,423300,Census Tract 4233; Alameda County; California,3438.0,1621.0,583.0,289.0,544.0,38.0,32.0,0.0,220.0,611.0,103.0,1945.0,27.0,10.0,1413.0,06,001,423300,47.5,5.3,1.9,0.7
Berkeley,423400,Berkeley,423400,Census Tract 4234; Alameda County; California,5581.0,2568.0,943.0,770.0,918.0,166.0,129.0,16.0,254.0,1267.0,306.0,3751.0,43.0,24.0,2141.0,06,001,423400,44.6,8.2,2.0,1.1
Berkeley,423500,Berkeley,423500,Census Tract 4235; Alameda County; California,3537.0,1989.0,366.0,429.0,493.0,186.0,50.0,137.0,210.0,1104.0,81.0,2042.0,0.0,25.0,1607.0,06,001,423500,52.8,4.0,0.0,1.6
Berkeley,423601,Berkeley,423601,Census Tract 4236.01; Alameda County; California,2717.0,1656.0,106.0,350.0,373.0,57.0,0.0,63.0,151.0,610.0,140.0,1672.0,0.0,11.0,1145.0,06,001,423601,44.4,8.4,0.0,1.0
Berkeley,423602,Berkeley,423602,Census Tract 4236.02; Alameda County; California,6739.0,3409.0,145.0,2056.0,659.0,83.0,44.0,147.0,830.0,1634.0,265.0,3158.0,0.0,0.0,2300.0,06,001,423602,67.6,8.4,0.0,0.0
Berkeley,423700,Berkeley,423700,Census Tract 4237; Alameda County; California,3537.0,1982.0,109.0,733.0,488.0,22.0,68.0,69.0,203.0,639.0,115.0,1810.0,23.0,0.0,1143.0,06,001,423700,56.7,6.4,2.0,0.0
Berkeley,423800,Berkeley,423800,Census Tract 4238; Alameda County; California,3460.0,2549.0,43.0,338.0,173.0,11.0,0.0,17.0,40.0,423.0,133.0,1744.0,0.0,0.0,1446.0,06,001,423800,16.1,7.6,0.0,0.0
Berkeley,423901,Berkeley,423901,Census Tract 4239.01; Alameda County; California,2205.0,1055.0,226.0,205.0,473.0,33.0,23.0,34.0,96.0,565.0,70.0,1350.0,7.0,0.0,903.0,06,001,423901,32.9,5.2,0.8,0.0
Berkeley,423902,Berkeley,423902,Census Tract 4239.02; Alameda County; California,1541.0,1013.0,85.0,184.0,184.0,43.0,15.0,23.0,130.0,500.0,43.0,1020.0,17.0,0.0,702.0,06,001,423902,42.2,4.2,2.4,0.0
Berkeley,424001,Berkeley,424001,Census Tract 4240.01; Alameda County; California,3716.0,1648.0,703.0,502.0,656.0,71.0,118.0,49.0,357.0,981.0,261.0,2318.0,0.0,0.0,1465.0,06,001,424001,60.7,11.3,0.0,0.0
Berkeley,424002,Berkeley,424002,Census Tract 4240.02; Alameda County; California,2591.0,1053.0,636.0,273.0,464.0,68.0,56.0,26.0,65.0,510.0,141.0,1464.0,5.0,0.0,1034.0,06,001,424002,42.2,9.6,0.5,0.0
Berkeley,982100,Berkeley (UCB),982100,Census Tract 9821; Alameda County; California,1099.0,362.0,89.0,434.0,188.0,0.0,0.0,4.0,10.0,24.0,18.0,495.0,0.0,0.0,40.0,06,001,982100,58.3,3.6,0.0,0.0
Oakland,402802,Central,402802,Census Tract 4028.02; Alameda County; California,1527.0,378.0,638.0,288.0,33.0,48.0,10.0,79.0,262.0,739.0,134.0,724.0,0.0,0.0,777.0,06,001,402802,54.0,18.5,0.0,0.0
Oakland,402900,Central,402900,Census Tract 4029; Alameda County; California,2111.0,467.0,417.0,915.0,246.0,119.0,29.0,84.0,480.0,1402.0,61.0,1376.0,0.0,0.0,1402.0,06,001,402900,50.8,4.4,0.0,0.0
Oakland,403000,Central,403000,Census Tract 4030; Alameda County; California,3125.0,401.0,200.0,2229.0,66.0,62.0,25.0,88.0,364.0,1392.0,129.0,1580.0,9.0,11.0,1781.0,06,001,403000,38.7,8.2,0.5,0.6
Oakland,403100,Central,403100,Census Tract 4031; Alameda County; California,2174.0,720.0,560.0,632.0,209.0,42.0,56.0,34.0,108.0,762.0,100.0,1536.0,0.0,0.0,1119.0,06,001,403100,31.5,6.5,0.0,0.0
Oakland,403301,Central,403301,Census Tract 4033.01; Alameda County; California,1807.0,97.0,61.0,1415.0,35.0,54.0,13.0,32.0,346.0,724.0,39.0,892.0,0.0,0.0,823.0,06,001,403301,61.5,4.4,0.0,0.0
Oakland,403302,Central,403302,Census Tract 4033.02; Alameda County; California,2687.0,1198.0,120.0,698.0,279.0,75.0,51.0,54.0,91.0,1107.0,83.0,2268.0,0.0,5.0,1561.0,06,001,403302,24.5,3.7,0.0,0.3
Oakland,403401,Central,403401,Census Tract 4034.01; Alameda County; California,2641.0,1132.0,347.0,626.0,319.0,251.0,93.0,127.0,403.0,1591.0,76.0,1630.0,0.0,0.0,1923.0,06,001,403401,54.9,4.7,0.0,0.0
Oakland,403402,Central,403402,Census Tract 4034.02; Alameda County; California,955.0,416.0,179.0,120.0,161.0,86.0,25.0,61.0,134.0,712.0,49.0,849.0,0.0,0.0,712.0,06,001,403402,43.0,5.8,0.0,0.0
Oakland,403501,Central,403501,Census Tract 4035.01; Alameda County; California,5421.0,1893.0,943.0,1715.0,497.0,96.0,92.0,241.0,553.0,2474.0,217.0,3686.0,50.0,0.0,2914.0,06,001,403501,39.7,5.9,1.7,0.0
Oakland,403502,Central,403502,Census Tract 4035.02; Alameda County; California,1885.0,867.0,372.0,142.0,233.0,81.0,32.0,64.0,210.0,958.0,27.0,1359.0,9.0,0.0,1086.0,06,001,403502,40.4,2.0,0.8,0.0
Oakland,403600,Central,403600,Census Tract 4036; Alameda County; California,4902.0,1717.0,1014.0,503.0,931.0,183.0,123.0,101.0,319.0,2385.0,127.0,3284.0,20.0,17.0,2846.0,06,001,403600,30.4,3.9,0.7,0.6
Oakland,403701,Central,403701,Census Tract 4037.01; Alameda County; California,2875.0,1190.0,709.0,544.0,260.0,128.0,74.0,52.0,473.0,1471.0,19.0,1784.0,10.0,9.0,1677.0,06,001,403701,49.4,1.1,0.6,0.5
Oakland,403702,Central,403702,Census Tract 4037.02; Alameda County; California,2264.0,1235.0,322.0,236.0,248.0,87.0,41.0,51.0,150.0,1040.0,87.0,1668.0,0.0,7.0,1239.0,06,001,403702,31.6,5.2,0.0,0.6
Oakland,403800,Central,403800,Census Tract 4038; Alameda County; California,3996.0,2450.0,541.0,455.0,262.0,25.0,126.0,32.0,208.0,1262.0,127.0,2645.0,0.0,0.0,2012.0,06,001,403800,31.0,4.8,0.0,0.0
Oakland,403900,Central,403900,Census Tract 4039; Alameda County; California,3864.0,2526.0,346.0,449.0,448.0,76.0,100.0,41.0,260.0,1387.0,127.0,2410.0,16.0,0.0,2203.0,06,001,403900,34.4,5.3,0.7,0.0
Oakland,405200,Central,405200,Census Tract 4052; Alameda County; California,4916.0,1350.0,580.0,1771.0,725.0,97.0,70.0,11.0,355.0,1842.0,36.0,3098.0,0.0,57.0,2298.0,06,001,405200,28.9,1.2,0.0,2.5
Oakland,405301,Central,405301,Census Tract 4053.01; Alameda County; California,2934.0,1435.0,530.0,352.0,375.0,103.0,44.0,118.0,265.0,1361.0,73.0,2181.0,14.0,15.0,1488.0,06,001,405301,38.9,3.3,0.9,1.0
Oakland,405302,Central,405302,Census Tract 4053.02; Alameda County; California,2560.0,849.0,521.0,793.0,259.0,186.0,95.0,65.0,374.0,1524.0,70.0,1568.0,0.0,0.0,1611.0,06,001,405302,47.2,4.5,0.0,0.0
Oakland,983200,Central,983200,Census Tract 9832; Alameda County; California,1038.0,496.0,170.0,212.0,60.0,0.0,31.0,13.0,44.0,191.0,1.0,768.0,0.0,0.0,615.0,06,001,983200,46.1,0.1,0.0,0.0
Oakland,404700,EOL,404700,Census Tract 4047; Alameda County; California,2223.0,1471.0,99.0,262.0,208.0,0.0,0.0,20.0,0.0,63.0,60.0,1248.0,0.0,0.0,857.0,06,001,404700,31.7,4.8,0.0,0.0
Oakland,404800,EOL,404800,Census Tract 4048; Alameda County; California,2622.0,1372.0,338.0,382.0,270.0,32.0,11.0,6.0,158.0,537.0,150.0,1274.0,19.0,47.0,1142.0,06,001,404800,38.5,11.8,1.7,4.1
Oakland,404900,EOL,404900,Census Tract 4049; Alameda County; California,4798.0,2667.0,239.0,682.0,704.0,100.0,92.0,77.0,151.0,831.0,78.0,2970.0,0.0,0.0,2065.0,06,001,404900,50.5,2.6,0.0,0.0
Oakland,405000,EOL,405000,Census Tract 4050; Alameda County; California,3670.0,2087.0,429.0,443.0,390.0,71.0,42.0,43.0,67.0,512.0,99.0,2321.0,10.0,0.0,1563.0,06,001,405000,43.6,4.3,0.6,0.0
Oakland,405100,EOL,405100,Census Tract 4051; Alameda County; California,4451.0,2831.0,190.0,608.0,362.0,0.0,0.0,0.0,9.0,92.0,20.0,2449.0,0.0,0.0,1694.0,06,001,405100,9.8,0.8,0.0,0.0
Oakland,405401,EOL,405401,Census Tract 4054.01; Alameda County; California,3733.0,796.0,573.0,1175.0,908.0,91.0,26.0,131.0,442.0,1451.0,223.0,2550.0,41.0,0.0,1615.0,06,001,405401,47.6,8.7,2.5,0.0
Oakland,405402,EOL,405402,Census Tract 4054.02; Alameda County; California,3325.0,631.0,433.0,1204.0,915.0,91.0,137.0,47.0,305.0,1074.0,92.0,1866.0,56.0,0.0,1212.0,06,001,405402,54.0,4.9,4.6,0.0
Oakland,405500,EOL,405500,Census Tract 4055; Alameda County; California,3574.0,696.0,501.0,1331.0,777.0,91.0,41.0,84.0,270.0,1155.0,110.0,2193.0,30.0,0.0,1629.0,06,001,405500,42.1,5.0,1.8,0.0
Oakland,405600,EOL,405600,Census Tract 4056; Alameda County; California,3153.0,755.0,472.0,1048.0,680.0,128.0,156.0,87.0,277.0,994.0,113.0,2150.0,0.0,0.0,1449.0,06,001,405600,65.2,5.3,0.0,0.0
Oakland,405700,EOL,405700,Census Tract 4057; Alameda County; California,3553.0,537.0,890.0,875.0,1087.0,40.0,53.0,0.0,272.0,961.0,67.0,2115.0,53.0,0.0,1491.0,06,001,405700,38.0,3.2,3.6,0.0
Oakland,405800,EOL,405800,Census Tract 4058; Alameda County; California,4329.0,493.0,870.0,1880.0,772.0,62.0,100.0,110.0,155.0,772.0,191.0,2424.0,0.0,0.0,1366.0,06,001,405800,55.3,7.9,0.0,0.0
Oakland,405901,EOL,405901,Census Tract 4059.01; Alameda County; California,4206.0,154.0,749.0,1272.0,1648.0,30.0,57.0,63.0,295.0,858.0,265.0,2289.0,68.0,0.0,1169.0,06,001,405901,51.9,11.6,5.8,0.0
Oakland,405902,EOL,405902,Census Tract 4059.02; Alameda County; California,2994.0,377.0,156.0,1214.0,912.0,38.0,22.0,50.0,240.0,568.0,249.0,1804.0,32.0,0.0,919.0,06,001,405902,61.6,13.8,3.5,0.0
Oakland,406000,EOL,406000,Census Tract 4060; Alameda County; California,4638.0,820.0,902.0,1915.0,844.0,151.0,16.0,90.0,519.0,1694.0,170.0,2646.0,53.0,0.0,2000.0,06,001,406000,45.8,6.4,2.6,0.0
Oakland,406100,EOL,406100,Census Tract 4061; Alameda County; California,5379.0,650.0,403.0,1180.0,2910.0,254.0,30.0,76.0,516.0,1391.0,182.0,2846.0,140.0,0.0,1946.0,06,001,406100,63.0,6.4,7.2,0.0
Oakland,406201,EOL,406201,Census Tract 4062.01; Alameda County; California,5191.0,293.0,686.0,1104.0,2873.0,58.0,158.0,147.0,356.0,1264.0,250.0,2696.0,131.0,11.0,1508.0,06,001,406201,56.9,9.3,8.7,0.7
Oakland,406202,EOL,406202,Census Tract 4062.02; Alameda County; California,4958.0,223.0,296.0,917.0,3451.0,183.0,72.0,121.0,283.0,1215.0,71.0,2238.0,274.0,0.0,1379.0,06,001,406202,54.2,3.2,19.9,0.0
Oakland,406300,EOL,406300,Census Tract 4063; Alameda County; California,4529.0,303.0,777.0,1000.0,1887.0,124.0,0.0,164.0,380.0,848.0,130.0,2247.0,28.0,0.0,1406.0,06,001,406300,78.8,5.8,2.0,0.0
Oakland,406400,EOL,406400,Census Tract 4064; Alameda County; California,2456.0,677.0,410.0,299.0,867.0,46.0,18.0,11.0,200.0,445.0,14.0,925.0,9.0,0.0,805.0,06,001,406400,61.8,1.5,1.1,0.0
Oakland,406500,EOL,406500,Census Tract 4065; Alameda County; California,6405.0,830.0,790.0,1448.0,3207.0,96.0,63.0,76.0,369.0,1212.0,314.0,3471.0,87.0,0.0,2006.0,06,001,406500,49.8,9.0,4.3,0.0
Oakland,406601,EOL,406601,Census Tract 4066.01; Alameda County; California,4476.0,943.0,1363.0,661.0,1240.0,136.0,59.0,105.0,383.0,971.0,445.0,3026.0,71.0,0.0,1854.0,06,001,406601,70.3,14.7,3.8,0.0
Oakland,406602,EOL,406602,Census Tract 4066.02; Alameda County; California,2638.0,348.0,657.0,501.0,940.0,48.0,31.0,136.0,139.0,677.0,168.0,1368.0,29.0,6.0,962.0,06,001,406602,52.3,12.3,3.0,0.6
Oakland,406700,EOL,406700,Census Tract 4067; Alameda County; California,5718.0,2486.0,445.0,1015.0,1223.0,62.0,47.0,112.0,221.0,785.0,181.0,3556.0,0.0,0.0,2118.0,06,001,406700,56.3,5.1,0.0,0.0
Oakland,406900,EOL,406900,Census Tract 4069; Alameda County; California,4535.0,1575.0,930.0,804.0,633.0,51.0,50.0,33.0,153.0,683.0,204.0,2601.0,5.0,0.0,1585.0,06,001,406900,42.0,7.8,0.3,0.0
Oakland,407000,EOL,407000,Census Tract 4070; Alameda County; California,6315.0,1105.0,1305.0,1215.0,2279.0,23.0,127.0,14.0,455.0,1079.0,118.0,3397.0,18.0,30.0,2179.0,06,001,407000,57.4,3.5,0.8,1.4
Oakland,407101,EOL,407101,Census Tract 4071.01; Alameda County; California,3547.0,292.0,400.0,815.0,1836.0,33.0,24.0,96.0,278.0,686.0,159.0,1865.0,213.0,0.0,1135.0,06,001,407101,62.8,8.5,18.8,0.0
